Код	Полное наименование	Короткое наименование	Регион	Район	Улица
101951	ГОРОДСКАЯ ПРОТИВОТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА	ГПТБ	Бишкек	Свердловский	Елебесова
100561	СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №5	СП №5	Бишкек	Октябрьский	
101551	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10	ГСВ №10	Бишкек	Ленинский	
411771	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОСОГО"""	"ФАП ""БОСОГО"""	Нарынская	Ат-Башынский	
101541	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9	ГСВ №9	Бишкек	Ленинский	
822851	ЧУЙСКИЙ ОБЛАСТНОЙ МЕДИКО-ИНФОРМАЦИОННЫЙ ЦЕНТР	МИЦ ЧУЙСКИЙ ОБЛАСТНОЙ	Чуйская	Аламудунский	
102051	Клиническая многопрофильная больница №2 города Бишкек	КМБ №2 г.Бишкек	Бишкек	Октябрьский	Джантошева ул.
102231	РЕСПУБЛИКАНСКИЙ ЦЕНТР ИММУНОПРОФИЛАКТИКИ	РЦ ИММУНОПРОФИЛАКТИКИ	Бишкек	Первомайский	
102461	АВТОБАЗА МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ	АВТОБАЗА МИНЗДРАВА	Бишкек	Октябрьский	
102041	ГОРОДСКОЙ  ДЕТСКИЙ  ЦЕНТР ПРОФИЛАКТИКИ И РЕАБИЛИТАЦИИ ТУБЕРКУЛЕЗА	ГДЦПРТ	Бишкек	Октябрьский	
305791	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ  ""АКСУУ"""	"ФТБ  ""АКСУУ"""	Джалал-Абадская	Аксыйский	
306461	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""КЫЗЫЛ-ДЖАР"""	"ФТБ ""КЫЗЫЛ-ДЖАР"""	Джалал-Абадская	Аксыйский	
102391	ГОРОДСКОЙ СПЕЦИАЛИЗИРОВАННЫЙ ДОМ РЕБЕНКА	ГОР. СПЕЦ. ДОМ РЕБЕНКА	Бишкек	Октябрьский	
205071	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КУТУРГУ"""	"ГСВ ""КУТУРГУ"""	Иссык-Кульская	Тюпский	
619491	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5 ""УЗГЕН"""	"ГСВ №5 ""УЗГЕН"""	Ошская	Узгенский	
307101	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""БЕК-АБАД"""	"ФТБ ""БЕК-АБАД"""	Джалал-Абадская	Сузакский	
203121	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БЕРЮ-БАШ"""	"ФАП ""БЕРЮ-БАШ"""	Иссык-Кульская	Ак-Суйский	
101901	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Первомайский	Тоголок-Молдо
305781	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""КОШТОБО"""	"ФТБ ""КОШТОБО"""	Джалал-Абадская	Аксыйский	
203331	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧЫРАК"""	"ФАП ""ЧЫРАК"""	Иссык-Кульская	Жети-Огузский	Бектурган ул.
310111	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""ИМ.БАТЫРОВА"""	"ФТБ ""ИМ.БАТЫРОВА"""	Джалал-Абадская	Сузакский	
513011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОГУЗБУЛАК"""	"ФАП ""ТОГУЗБУЛАК"""	Баткенская	Лейлекский	
205061	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АК-БУЛАК"""	"ГСВ ""АК-БУЛАК"""	Иссык-Кульская	Тюпский	
205121	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТАСМА"""	"ГСВ ""ТАСМА"""	Иссык-Кульская	Тюпский	
204091	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ПРИСТАНЬ"""	"ГСВ ""ПРИСТАНЬ"""	Иссык-Кульская	Каракол	
513101	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАЗАР БАШЫ"""	"ФАП ""БАЗАР БАШЫ"""	Баткенская	Баткенский	
204701	КАРАКОЛЬСКОЕ ПРОТИВОЧУМНОЕ ОТДЕЛЕНИЕ РЕСПУБЛИКАНСКОГО ЦЕНТРА	КАРАКОЛЬСКОЕ ПЧО	Иссык-Кульская	Каракол	
100981	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Первомайский	Логвиненко ул.
308051	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""ТЕРЕК-СУУ"""	"ФТБ ""ТЕРЕК-СУУ"""	Джалал-Абадская	Токтогульский	
309031	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Джалал-Абадская	Ноокенский	Молложанов Шахабидин ул.
204791	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЖЕТИ-ОГУЗ"""	"ГСВ ""ЖЕТИ-ОГУЗ"""	Иссык-Кульская	Жети-Огузский	Байсеркеева
308361	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""ТЕРЕК-САЙ"""	"ФТБ ""ТЕРЕК-САЙ"""	Джалал-Абадская	Чаткальский	
441661	Нарынский областной центр семейной медицины	Нарынский областной ЦСМ	Нарынская	Нарын	Качкынова
306851	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ГУЛИСТАН"""	"ФАП ""ГУЛИСТАН"""	Джалал-Абадская	Сузакский	Ботобаев
241751	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""Сары-Кол"""	"ГСВ "" Сары-Кол"""	Иссык-Кульская	Тюпский	
513201	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗЫЛ-ЖОЛ"""	"ГСВ ""КЫЗЫЛ-ЖОЛ"""	Баткенская	Баткенский	
512861	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14	ГСВ №14	Баткенская	Баткенский	
514071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-ТАЛАА"""	"ФАП ""САРЫ-ТАЛАА"""	Баткенская	Баткенский	
513291	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ОРТОБОЗ"""	"ГСВ ""ОРТОБОЗ"""	Баткенская	Баткен	
821751	СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА МОСКОВСКОГО РАЙОНА	СТОМПОЛИКЛИНИКА МОСКОВСКОГО РАЙОНА	Чуйская	Московский	
308241	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИМ.ЛЕНИНА"""	"ФАП ""ИМ.ЛЕНИНА"""	Джалал-Абадская	Сузакский	Тоголок Молдо
721101	ТАЛАССКОЕ ОБЛАСТНОЕ БЮРО СУДМЕДЭКСПЕРТИЗЫ	СУДМЕДЭКСПЕРТИЗА ТАЛАССКАЯ ОБЛАСТНАЯ	Таласская	Талас	
823481	МОСКОВСКИЙ РАЙОННЫЙ ЦЕНТР ПРОФИЛАКТИКИ ЗАБОЛЕВАНИЯ И ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА	МОСКОВСКИЙ РАЙОННЫЙ ЦПЗИГСЭН	Чуйская	Московский	
306131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАЗЫЛАТА"""	"ФАП ""БАЗЫЛАТА"""	Джалал-Абадская	Таш-Кумыр	Манаса ул.
824421	СОКУЛУКСКИЙ ЦЕНТР ПРОФИЛАКТИКИ ЗАБОЛЕВАНИЯ И ГОСУДАРСТВЕННОГО САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКОГО НАДЗОРА	СОКУЛУКСКИЙ РАЙОННЫЙ ЦПЗИГСЭН	Чуйская	Сокулукский	
721191	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""Жон-Коргон"""	"ФАП ""Жон-Коргон"""	Таласская	Бакай-Атинский	
102171	СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №6	СП №6	Бишкек	Первомайский	
513281	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""РАВАТ"""	"ГСВ ""РАВАТ"""	Баткенская	Баткен	
307361	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДОСКАНА"""	"ФАП ""ДОСКАНА"""	Джалал-Абадская	Сузакский	Жээналиев М.
513181	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Баткенская	Баткенский	
825751	ФИЛИАЛ РЕСПУБЛИКАНСКОГО ЦЕНТРА ПСИХИЧЕСКОГО ЗДОРОВЬЯ №1	ФИЛИАЛ РЦПЗ №1	Чуйская	Кеминский	
825741	"ЧУЙСКАЯ ОБЛАСТНАЯ ДЕТСКАЯ ПРОТИВОТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА ""АРЧАЛЫ"""	"ОБЛАСТНАЯ ДЕТСКАЯ ТУББОЛЬНИЦА ""АРЧАЛЫ"""	Чуйская	Аламудунский	
825411	РЕСПУБ.БОЛЬНИЦА  ПАЛЛИАТИВНОЙ ПОМОЩИ БОЛЬНЫХ ТУБЕРКУЛЕЗОМ №1 Г. КЕМИН	РБПП БОЛЬНЫМ ТУБЕРКУЛЕЗОМ  №1 Г.КЕМИН	Чуйская	Кеминский	
926091	ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА	ФТБ ТУБЕРКУЛЕЗНАЯ БОЛЬНИЦА	город Ош	город Ош	
826031	"ДЕТСКИЙ ПСИХОНЕВРОЛОГИЧЕСКИЙ САНАТОРИЙ ""РОДНИЧОК"""	"САНАТОРИЙ ПСИХОНЕВР. ДЕТСКИЙ ""РОДНИЧОК"""	Чуйская	Московский	Заводская ул.
926321	ОШСКАЯ ОБЛАСТНАЯ АВТОБАЗА САНИТАРНЫХ МАШИН	АВТОБАЗА САНИТАРНЫХ МАШИН ОШСКАЯ	город Ош	город Ош	
618971	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Ошская	Алайский	Алымбек Датка
143861	Национальный центр фтизиатрии (отделение науки)	НЦФ (отделение науки)	Бишкек	Октябрьский	Ахунбаева
943751	"ФАП ""Станция Ош"""	"ФАП ""Станция Ош"""	город Ош	город Ош	
641861	"ФП""ОЛЖОКЕ"""	"ФП""ОЛЖОКЕ"""	Ошская	Алайский	
307141	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАНЫ-ОРТОК"""	"ФАП ""ЖАНЫ-ОРТОК"""	Джалал-Абадская	Сузакский	Орунбаев
721541	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ПОКРОВКА"""	"ГСВ ""ПОКРОВКА"""	Таласская	Манасский	Кызыл-Туу ул.
309621	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КОШ-ДЕБЕ"""	"ГСВ ""КОШ-ДЕБЕ"""	Джалал-Абадская	Аксыйский	
620241	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2 ""КАРАМЫК"""	"ГСВ №2 ""КАРАМЫК"""	Ошская	Чон-Алайский	
642391	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧАГЫР"""	"ФАП ""ЧАГЫР"""	Ошская	Кара-Сууйский	
642371	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СУРОТТУУ-ТАШ"""	"ФАП ""СУРОТТУУ-ТАШ"""	Ошская	Кара-Сууйский	
342431	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СЫНЫ-2"""	"ФАП ""СЫНЫ-2"""	Джалал-Абадская	Аксыйский	0
307061	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ШАТРАК"""	"ФАП ""ШАТРАК"""	Джалал-Абадская	Сузакский	Жумабай-Палван
823171	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ФОК КЦШК"""	"ГСВ ""ФОК КЦШК"""	Чуйская	Ысык-Атинский	
309561	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖЕРГЕ-ТАЛ"""	"ГСВ ""ДЖЕРГЕ-ТАЛ"""	Джалал-Абадская	Аксыйский	
512171	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СОГМЕНТ"""	"ГСВ ""СОГМЕНТ"""	Баткенская	Баткенский	
203741	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ОЛОН"""	"ФАП ""АК-ОЛОН"""	Иссык-Кульская	Балыкчы	
307051	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАШАСЫН"""	"ФАП ""ЖАШАСЫН"""	Джалал-Абадская	Сузакский	Усенов Токтогул
204411	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРТО-ТОКОЙ"""	"ФАП ""ОРТО-ТОКОЙ"""	Иссык-Кульская	Балыкчы	
101661	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14	ГСВ №14	Бишкек	Ленинский	
309901	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАЗЫ-КЕЧУ"""	"ФАП ""ЖАЗЫ-КЕЧУ"""	Джалал-Абадская	Кара-Куль	Мусуралиев
343741	"ФАП ""Станция Жалал-Абад"""	"ФАП ""Станция Жалал-Абад"""	Джалал-Абадская	Джалал-Абад	
307041	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОТИЯ"""	"ФАП ""ТОТИЯ"""	Джалал-Абадская	Сузакский	Абжалилов
306431	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ ""КЫЗЫЛ-ТУУ"""	"ФТБ ""КЫЗЫЛ-ТУУ"""	Джалал-Абадская	Аксыйский	
410711	ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ БУГУЧУ	ФАП БУГУЧУ	Нарынская	Кочкорский	К.Мамбеталиев
721331	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АК-САЙ"""	"ГСВ ""АК-САЙ"""	Таласская	Таласский	
308761	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12 ""АЙРЫ-ТАМ"""	"ГСВ №12 ""АЙРЫ-ТАМ"""	Джалал-Абадская	Ала-Букинский	С.Жунусов ул.
241451	ЦЕНТР ОБЩЕВРАЧЕБНОЙ ПРАКТИКИ ТОНСКОГО РАЙОНА	ЦОВП ТОНСКОГО РАЙОНА	Иссык-Кульская	Тонский	Ленин ул.
241441	Центр общеврачебной практики Ак-Суйского района	ЦОВП Ак-Суйского района	Иссык-Кульская	Ак-Суйский	
306981	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КУМУШ-АЗИС"""	"ФАП ""КУМУШ-АЗИС"""	Джалал-Абадская	Сузакский	Тажибаев
306951	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-КОЛ"""	"ФАП ""КАРА-КОЛ"""	Джалал-Абадская	Сузакский	Мамадиев Сарыбаш
143801	"Здравпункт ""Вагонно-ремонтный завод Бишкек 2"""	"Здравпункт ""Вагонно-ремонтный завод Бишкек 2"""	Бишкек	Ленинский	
101311	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Свердловский	
308561	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №28	ГСВ №28	Джалал-Абадская	Сузакский	
102441	КОНСУЛЬТАТИВАНАЯ  ПОЛИКЛИНИКА ВЕТЕРАНОВ	КОНСУЛЬТАТИВАНАЯ ПОЛИКЛИНИКА ВЕТЕРАНОВ	Бишкек	Первомайский	
203211	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-КАМЫШ"""	"ФАП ""САРЫ-КАМЫШ"""	Иссык-Кульская	Ак-Суйский	
204691	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАЯК"""	"ФАП ""МАЯК"""	Иссык-Кульская	Тюпский	
202991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕГИЗЧИЛ"""	"ФАП ""ТЕГИЗЧИЛ"""	Иссык-Кульская	Ак-Суйский	
202981	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖАНЫ-АРЫК"""	"ФАП ""ДЖАНЫ-АРЫК"""	Иссык-Кульская	Ак-Суйский	
202971	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОЗ-БУЛУН"""	"ФАП ""БОЗ-БУЛУН"""	Иссык-Кульская	Ак-Суйский	
203101	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОТРАДНОЕ"""	"ФАП ""ОТРАДНОЕ"""	Иссык-Кульская	Ак-Суйский	
203091	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ШАПАК"""	"ФАП ""ШАПАК"""	Иссык-Кульская	Ак-Суйский	
203071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-КИЯ"""	"ФАП ""КЫЗЫЛ-КИЯ"""	Иссык-Кульская	Ак-Суйский	
203061	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЗЫНДАН"""	"ФАП ""ЗЫНДАН"""	Иссык-Кульская	Ак-Суйский	
203041	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-БУЛАК"""	"ФАП ""АК-БУЛАК"""	Иссык-Кульская	Ак-Суйский	
203031	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ИЧКЕ-ДЖЕРГЕЗ"""	"ФАП ""ИЧКЕ-ДЖЕРГЕЗ"""	Иссык-Кульская	Ак-Суйский	
203021	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ЧИЙ"""	"ФАП ""АК-ЧИЙ"""	Иссык-Кульская	Ак-Суйский	
203081	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЭНИЛЬЧЕК"""	"ФАП ""ЭНИЛЬЧЕК"""	Иссык-Кульская	Ак-Суйский	
101481	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Ленинский	
410961	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЙИРИ-СУУ"""	"ФАП ""ЙИРИ-СУУ"""	Нарынская	Нарынский	
203611	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОРГОНДУ-БУЛАК"""	"ФАП ""КОРГОНДУ-БУЛАК"""	Иссык-Кульская	Тонский	
203621	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-САЙ"""	"ФАП ""АК-САЙ"""	Иссык-Кульская	Тонский	
203151	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОЛПОН"""	"ФАП ""ЧОЛПОН"""	Иссык-Кульская	Ак-Суйский	
203141	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОРЛИНОЕ"""	"ФАП ""ОРЛИНОЕ"""	Иссык-Кульская	Ак-Суйский	
203131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КУРБУ"""	"ФАП ""КУРБУ"""	Иссык-Кульская	Ак-Суйский	
203111	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЧЫБЕК"""	"ФАП ""КАЧЫБЕК"""	Иссык-Кульская	Ак-Суйский	
203221	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УЧ-КАЙНАР"""	"ФАП ""УЧ-КАЙНАР"""	Иссык-Кульская	Ак-Суйский	
203191	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕРЕГЕ-ТАШ"""	"ФАП ""КЕРЕГЕ-ТАШ"""	Иссык-Кульская	Ак-Суйский	
203181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖОЛ-КОЛОТ"""	"ФАП ""ДЖОЛ-КОЛОТ"""	Иссык-Кульская	Ак-Суйский	
204721	Учреждение «Оздоровительно-реабилитационный центр «Алтын-Балалык»	У-е «Оздоровительно-реабилитационный центр «Алтын-Балалык»	Иссык-Кульская	Иссык-Кульский	Акматбай ата
618161	ЦЕНТР ОБЩЕЙ ВРАЧЕБНОЙ ПРАКТИКИ МЫРЗА-АКИНСКИЙ	ЦОВП МЫРЗА-АКИНСКИЙ	Ошская	Узгенский	М.Жээнбеков ул.
143791	"Здравпункт ""Филиал предрейсового осмотра"""	"Здравпункт ""Филиал предрейсового осмотра"""	Бишкек	Первомайский	
306501	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АРАЛ-12"""	"ФАП ""АРАЛ-12"""	Джалал-Абадская	Сузакский	Закиров К.
102101	КЫРГЫЗСКИЙ НАУЧНЫЙ ЦЕНТР РЕПРОДУКЦИИ ЧЕЛОВЕКА	КНЦ РЕПРОДУКЦИИ ЧЕЛОВЕКА	Бишкек	Октябрьский	7 мкр.
